EarnS,time,state,county,year,quarter,county_name
2689,1991-Q4,06,001,1991,4,Alameda County
2587,1992-Q1,06,001,1992,1,Alameda County
2610,1992-Q2,06,001,1992,2,Alameda County
2612,1992-Q3,06,001,1992,3,Alameda County
2881,1992-Q4,06,001,1992,4,Alameda County
2580,1993-Q1,06,001,1993,1,Alameda County
2660,1993-Q2,06,001,1993,2,Alameda County
2733,1993-Q3,06,001,1993,3,Alameda County
2897,1993-Q4,06,001,1993,4,Alameda County
2681,1994-Q1,06,001,1994,1,Alameda County
2741,1994-Q2,06,001,1994,2,Alameda County
2851,1994-Q3,06,001,1994,3,Alameda County
2860,1994-Q4,06,001,1994,4,Alameda County
2892,1995-Q1,06,001,1995,1,Alameda County
2861,1995-Q2,06,001,1995,2,Alameda County
2870,1995-Q3,06,001,1995,3,Alameda County
3041,1995-Q4,06,001,1995,4,Alameda County
2943,1996-Q1,06,001,1996,1,Alameda County
2975,1996-Q2,06,001,1996,2,Alameda County
2995,1996-Q3,06,001,1996,3,Alameda County
3203,1996-Q4,06,001,1996,4,Alameda County
3118,1997-Q1,06,001,1997,1,Alameda County
3117,1997-Q2,06,001,1997,2,Alameda County
3154,1997-Q3,06,001,1997,3,Alameda County
3426,1997-Q4,06,001,1997,4,Alameda County
3270,1998-Q1,06,001,1998,1,Alameda County
3329,1998-Q2,06,001,1998,2,Alameda County
3329,1998-Q3,06,001,1998,3,Alameda County
3678,1998-Q4,06,001,1998,4,Alameda County
3345,1999-Q1,06,001,1999,1,Alameda County
3466,1999-Q2,06,001,1999,2,Alameda County
3513,1999-Q3,06,001,1999,3,Alameda County
3945,1999-Q4,06,001,1999,4,Alameda County
3855,2000-Q1,06,001,2000,1,Alameda County
3877,2000-Q2,06,001,2000,2,Alameda County
3896,2000-Q3,06,001,2000,3,Alameda County
4147,2000-Q4,06,001,2000,4,Alameda County
4104,2001-Q1,06,001,2001,1,Alameda County
4008,2001-Q2,06,001,2001,2,Alameda County
3854,2001-Q3,06,001,2001,3,Alameda County
4143,2001-Q4,06,001,2001,4,Alameda County
4052,2002-Q1,06,001,2002,1,Alameda County
3973,2002-Q2,06,001,2002,2,Alameda County
3960,2002-Q3,06,001,2002,3,Alameda County
4241,2002-Q4,06,001,2002,4,Alameda County
4091,2003-Q1,06,001,2003,1,Alameda County
4064,2003-Q2,06,001,2003,2,Alameda County
4230,2003-Q3,06,001,2003,3,Alameda County
4400,2003-Q4,06,001,2003,4,Alameda County
4344,2004-Q1,06,001,2004,1,Alameda County
4253,2004-Q2,06,001,2004,2,Alameda County
4291,2004-Q3,06,001,2004,3,Alameda County
4673,2004-Q4,06,001,2004,4,Alameda County
4415,2005-Q1,06,001,2005,1,Alameda County
4343,2005-Q2,06,001,2005,2,Alameda County
4660,2005-Q3,06,001,2005,3,Alameda County
4692,2005-Q4,06,001,2005,4,Alameda County
4879,2006-Q1,06,001,2006,1,Alameda County
4582,2006-Q2,06,001,2006,2,Alameda County
4593,2006-Q3,06,001,2006,3,Alameda County
4848,2006-Q4,06,001,2006,4,Alameda County
5008,2007-Q1,06,001,2007,1,Alameda County
4741,2007-Q2,06,001,2007,2,Alameda County
4672,2007-Q3,06,001,2007,3,Alameda County
5137,2007-Q4,06,001,2007,4,Alameda County
4985,2008-Q1,06,001,2008,1,Alameda County
4753,2008-Q2,06,001,2008,2,Alameda County
4838,2008-Q3,06,001,2008,3,Alameda County
5042,2008-Q4,06,001,2008,4,Alameda County
4789,2009-Q1,06,001,2009,1,Alameda County
4739,2009-Q2,06,001,2009,2,Alameda County
4729,2009-Q3,06,001,2009,3,Alameda County
5190,2009-Q4,06,001,2009,4,Alameda County
4913,2010-Q1,06,001,2010,1,Alameda County
4874,2010-Q2,06,001,2010,2,Alameda County
5019,2010-Q3,06,001,2010,3,Alameda County
5451,2010-Q4,06,001,2010,4,Alameda County
5112,2011-Q1,06,001,2011,1,Alameda County
5097,2011-Q2,06,001,2011,2,Alameda County
5237,2011-Q3,06,001,2011,3,Alameda County
5213,2011-Q4,06,001,2011,4,Alameda County
5506,2012-Q1,06,001,2012,1,Alameda County
5119,2012-Q2,06,001,2012,2,Alameda County
5144,2012-Q3,06,001,2012,3,Alameda County
10164,2012-Q4,06,001,2012,4,Alameda County
5482,2013-Q1,06,001,2013,1,Alameda County
5197,2013-Q2,06,001,2013,2,Alameda County
5322,2013-Q3,06,001,2013,3,Alameda County
5594,2013-Q4,06,001,2013,4,Alameda County
5746,2014-Q1,06,001,2014,1,Alameda County
5330,2014-Q2,06,001,2014,2,Alameda County
5616,2014-Q3,06,001,2014,3,Alameda County
5865,2014-Q4,06,001,2014,4,Alameda County
6031,2015-Q1,06,001,2015,1,Alameda County
5585,2015-Q2,06,001,2015,2,Alameda County
5707,2015-Q3,06,001,2015,3,Alameda County
6188,2015-Q4,06,001,2015,4,Alameda County
6123,2016-Q1,06,001,2016,1,Alameda County
6313,2016-Q2,06,001,2016,2,Alameda County
6168,2016-Q3,06,001,2016,3,Alameda County
6137,2016-Q4,06,001,2016,4,Alameda County
6549,2017-Q1,06,001,2017,1,Alameda County
6182,2017-Q2,06,001,2017,2,Alameda County
6112,2017-Q3,06,001,2017,3,Alameda County
6503,2017-Q4,06,001,2017,4,Alameda County
6847,2018-Q1,06,001,2018,1,Alameda County
6386,2018-Q2,06,001,2018,2,Alameda County
6337,2018-Q3,06,001,2018,3,Alameda County
6734,2018-Q4,06,001,2018,4,Alameda County
6925,2019-Q1,06,001,2019,1,Alameda County
6613,2019-Q2,06,001,2019,2,Alameda County
6535,2019-Q3,06,001,2019,3,Alameda County
1911,1991-Q4,06,003,1991,4,Alpine County
1222,1992-Q1,06,003,1992,1,Alpine County
1689,1992-Q2,06,003,1992,2,Alpine County
1763,1992-Q3,06,003,1992,3,Alpine County
1436,1992-Q4,06,003,1992,4,Alpine County
1343,1993-Q1,06,003,1993,1,Alpine County
1406,1993-Q2,06,003,1993,2,Alpine County
1618,1993-Q3,06,003,1993,3,Alpine County
1519,1993-Q4,06,003,1993,4,Alpine County
1364,1994-Q1,06,003,1994,1,Alpine County
1273,1994-Q2,06,003,1994,2,Alpine County
1478,1994-Q3,06,003,1994,3,Alpine County
1418,1994-Q4,06,003,1994,4,Alpine County
1253,1995-Q1,06,003,1995,1,Alpine County
1449,1995-Q2,06,003,1995,2,Alpine County
1533,1995-Q3,06,003,1995,3,Alpine County
1483,1995-Q4,06,003,1995,4,Alpine County
1504,1996-Q1,06,003,1996,1,Alpine County
1424,1996-Q2,06,003,1996,2,Alpine County
1679,1996-Q3,06,003,1996,3,Alpine County
1513,1996-Q4,06,003,1996,4,Alpine County
1376,1997-Q1,06,003,1997,1,Alpine County
1593,1997-Q2,06,003,1997,2,Alpine County
1744,1997-Q3,06,003,1997,3,Alpine County
1875,1997-Q4,06,003,1997,4,Alpine County
1317,1998-Q1,06,003,1998,1,Alpine County
1764,1998-Q2,06,003,1998,2,Alpine County
1987,1998-Q3,06,003,1998,3,Alpine County
1935,1998-Q4,06,003,1998,4,Alpine County
1555,1999-Q1,06,003,1999,1,Alpine County
1805,1999-Q2,06,003,1999,2,Alpine County
1725,1999-Q3,06,003,1999,3,Alpine County
1576,1999-Q4,06,003,1999,4,Alpine County
1718,2000-Q1,06,003,2000,1,Alpine County
1705,2000-Q2,06,003,2000,2,Alpine County
1877,2000-Q3,06,003,2000,3,Alpine County
1583,2000-Q4,06,003,2000,4,Alpine County
1828,2001-Q1,06,003,2001,1,Alpine County
1962,2001-Q2,06,003,2001,2,Alpine County
2045,2001-Q3,06,003,2001,3,Alpine County
2024,2001-Q4,06,003,2001,4,Alpine County
1934,2002-Q1,06,003,2002,1,Alpine County
1973,2002-Q2,06,003,2002,2,Alpine County
1972,2002-Q3,06,003,2002,3,Alpine County
2203,2002-Q4,06,003,2002,4,Alpine County
2048,2003-Q1,06,003,2003,1,Alpine County
2048,2003-Q2,06,003,2003,2,Alpine County
2309,2003-Q3,06,003,2003,3,Alpine County
2230,2003-Q4,06,003,2003,4,Alpine County
2160,2004-Q1,06,003,2004,1,Alpine County
2272,2004-Q2,06,003,2004,2,Alpine County
2250,2004-Q3,06,003,2004,3,Alpine County
2396,2004-Q4,06,003,2004,4,Alpine County
2242,2005-Q1,06,003,2005,1,Alpine County
2457,2005-Q2,06,003,2005,2,Alpine County
2349,2005-Q3,06,003,2005,3,Alpine County
2159,2005-Q4,06,003,2005,4,Alpine County
2315,2006-Q1,06,003,2006,1,Alpine County
2275,2006-Q2,06,003,2006,2,Alpine County
2193,2006-Q3,06,003,2006,3,Alpine County
2631,2006-Q4,06,003,2006,4,Alpine County
2433,2007-Q1,06,003,2007,1,Alpine County
2567,2007-Q2,06,003,2007,2,Alpine County
2656,2007-Q3,06,003,2007,3,Alpine County
2762,2007-Q4,06,003,2007,4,Alpine County
2540,2008-Q1,06,003,2008,1,Alpine County
2601,2008-Q2,06,003,2008,2,Alpine County
2721,2008-Q3,06,003,2008,3,Alpine County
2794,2008-Q4,06,003,2008,4,Alpine County
2527,2009-Q1,06,003,2009,1,Alpine County
2551,2009-Q2,06,003,2009,2,Alpine County
2586,2009-Q3,06,003,2009,3,Alpine County
2683,2009-Q4,06,003,2009,4,Alpine County
2718,2010-Q1,06,003,2010,1,Alpine County
2925,2010-Q2,06,003,2010,2,Alpine County
2708,2010-Q3,06,003,2010,3,Alpine County
2942,2010-Q4,06,003,2010,4,Alpine County
4193,2011-Q1,06,003,2011,1,Alpine County
4665,2011-Q2,06,003,2011,2,Alpine County
4611,2011-Q3,06,003,2011,3,Alpine County
4724,2011-Q4,06,003,2011,4,Alpine County
5714,2012-Q1,06,003,2012,1,Alpine County
4552,2012-Q2,06,003,2012,2,Alpine County
4370,2012-Q3,06,003,2012,3,Alpine County
4521,2012-Q4,06,003,2012,4,Alpine County
3835,2013-Q1,06,003,2013,1,Alpine County
4305,2013-Q2,06,003,2013,2,Alpine County
4292,2013-Q3,06,003,2013,3,Alpine County
4292,2013-Q4,06,003,2013,4,Alpine County
3884,2014-Q1,06,003,2014,1,Alpine County
4097,2014-Q2,06,003,2014,2,Alpine County
4399,2014-Q3,06,003,2014,3,Alpine County
4396,2014-Q4,06,003,2014,4,Alpine County
2541,2015-Q1,06,003,2015,1,Alpine County
3186,2015-Q2,06,003,2015,2,Alpine County
3341,2015-Q3,06,003,2015,3,Alpine County
3356,2015-Q4,06,003,2015,4,Alpine County
2536,2016-Q1,06,003,2016,1,Alpine County
3223,2016-Q2,06,003,2016,2,Alpine County
3587,2016-Q3,06,003,2016,3,Alpine County
3352,2016-Q4,06,003,2016,4,Alpine County
2971,2017-Q1,06,003,2017,1,Alpine County
3301,2017-Q2,06,003,2017,2,Alpine County
3601,2017-Q3,06,003,2017,3,Alpine County
3561,2017-Q4,06,003,2017,4,Alpine County
3540,2018-Q1,06,003,2018,1,Alpine County
3542,2018-Q2,06,003,2018,2,Alpine County
3658,2018-Q3,06,003,2018,3,Alpine County
3665,2018-Q4,06,003,2018,4,Alpine County
3527,2019-Q1,06,003,2019,1,Alpine County
3684,2019-Q2,06,003,2019,2,Alpine County
4071,2019-Q3,06,003,2019,3,Alpine County
1872,1991-Q4,06,005,1991,4,Amador County
1692,1992-Q1,06,005,1992,1,Amador County
1844,1992-Q2,06,005,1992,2,Amador County
1710,1992-Q3,06,005,1992,3,Amador County
1888,1992-Q4,06,005,1992,4,Amador County
1684,1993-Q1,06,005,1993,1,Amador County
1887,1993-Q2,06,005,1993,2,Amador County
1740,1993-Q3,06,005,1993,3,Amador County
1929,1993-Q4,06,005,1993,4,Amador County
1771,1994-Q1,06,005,1994,1,Amador County
1916,1994-Q2,06,005,1994,2,Amador County
1901,1994-Q3,06,005,1994,3,Amador County
1874,1994-Q4,06,005,1994,4,Amador County
1812,1995-Q1,06,005,1995,1,Amador County
1901,1995-Q2,06,005,1995,2,Amador County
1881,1995-Q3,06,005,1995,3,Amador County
1979,1995-Q4,06,005,1995,4,Amador County
1813,1996-Q1,06,005,1996,1,Amador County
1883,1996-Q2,06,005,1996,2,Amador County
1908,1996-Q3,06,005,1996,3,Amador County
2003,1996-Q4,06,005,1996,4,Amador County
1822,1997-Q1,06,005,1997,1,Amador County
1905,1997-Q2,06,005,1997,2,Amador County
1941,1997-Q3,06,005,1997,3,Amador County
2005,1997-Q4,06,005,1997,4,Amador County
1870,1998-Q1,06,005,1998,1,Amador County
1987,1998-Q2,06,005,1998,2,Amador County
2035,1998-Q3,06,005,1998,3,Amador County
2116,1998-Q4,06,005,1998,4,Amador County
1877,1999-Q1,06,005,1999,1,Amador County
2078,1999-Q2,06,005,1999,2,Amador County
2134,1999-Q3,06,005,1999,3,Amador County
2250,1999-Q4,06,005,1999,4,Amador County
1975,2000-Q1,06,005,2000,1,Amador County
2518,2000-Q2,06,005,2000,2,Amador County
2529,2000-Q3,06,005,2000,3,Amador County
2656,2000-Q4,06,005,2000,4,Amador County
2433,2001-Q1,06,005,2001,1,Amador County
2610,2001-Q2,06,005,2001,2,Amador County
2665,2001-Q3,06,005,2001,3,Amador County
2785,2001-Q4,06,005,2001,4,Amador County
2531,2002-Q1,06,005,2002,1,Amador County
2695,2002-Q2,06,005,2002,2,Amador County
2723,2002-Q3,06,005,2002,3,Amador County
2788,2002-Q4,06,005,2002,4,Amador County
2607,2003-Q1,06,005,2003,1,Amador County
2728,2003-Q2,06,005,2003,2,Amador County
2793,2003-Q3,06,005,2003,3,Amador County
2910,2003-Q4,06,005,2003,4,Amador County
2712,2004-Q1,06,005,2004,1,Amador County
2837,2004-Q2,06,005,2004,2,Amador County
2945,2004-Q3,06,005,2004,3,Amador County
3118,2004-Q4,06,005,2004,4,Amador County
2808,2005-Q1,06,005,2005,1,Amador County
2978,2005-Q2,06,005,2005,2,Amador County
3148,2005-Q3,06,005,2005,3,Amador County
3242,2005-Q4,06,005,2005,4,Amador County
3009,2006-Q1,06,005,2006,1,Amador County
3166,2006-Q2,06,005,2006,2,Amador County
3232,2006-Q3,06,005,2006,3,Amador County
3370,2006-Q4,06,005,2006,4,Amador County
3204,2007-Q1,06,005,2007,1,Amador County
3555,2007-Q2,06,005,2007,2,Amador County
3364,2007-Q3,06,005,2007,3,Amador County
3543,2007-Q4,06,005,2007,4,Amador County
3264,2008-Q1,06,005,2008,1,Amador County
3394,2008-Q2,06,005,2008,2,Amador County
3440,2008-Q3,06,005,2008,3,Amador County
3562,2008-Q4,06,005,2008,4,Amador County
3290,2009-Q1,06,005,2009,1,Amador County
3372,2009-Q2,06,005,2009,2,Amador County
3274,2009-Q3,06,005,2009,3,Amador County
3487,2009-Q4,06,005,2009,4,Amador County
3124,2010-Q1,06,005,2010,1,Amador County
3340,2010-Q2,06,005,2010,2,Amador County
3335,2010-Q3,06,005,2010,3,Amador County
3511,2010-Q4,06,005,2010,4,Amador County
3173,2011-Q1,06,005,2011,1,Amador County
3408,2011-Q2,06,005,2011,2,Amador County
3382,2011-Q3,06,005,2011,3,Amador County
3443,2011-Q4,06,005,2011,4,Amador County
3278,2012-Q1,06,005,2012,1,Amador County
3335,2012-Q2,06,005,2012,2,Amador County
3417,2012-Q3,06,005,2012,3,Amador County
3604,2012-Q4,06,005,2012,4,Amador County
3405,2013-Q1,06,005,2013,1,Amador County
3346,2013-Q2,06,005,2013,2,Amador County
3432,2013-Q3,06,005,2013,3,Amador County
3670,2013-Q4,06,005,2013,4,Amador County
3510,2014-Q1,06,005,2014,1,Amador County
3656,2014-Q2,06,005,2014,2,Amador County
3773,2014-Q3,06,005,2014,3,Amador County
3885,2014-Q4,06,005,2014,4,Amador County
3731,2015-Q1,06,005,2015,1,Amador County
3790,2015-Q2,06,005,2015,2,Amador County
3923,2015-Q3,06,005,2015,3,Amador County
4120,2015-Q4,06,005,2015,4,Amador County
3763,2016-Q1,06,005,2016,1,Amador County
3881,2016-Q2,06,005,2016,2,Amador County
4065,2016-Q3,06,005,2016,3,Amador County
4114,2016-Q4,06,005,2016,4,Amador County
3941,2017-Q1,06,005,2017,1,Amador County
4109,2017-Q2,06,005,2017,2,Amador County
4103,2017-Q3,06,005,2017,3,Amador County
4291,2017-Q4,06,005,2017,4,Amador County
3968,2018-Q1,06,005,2018,1,Amador County
4045,2018-Q2,06,005,2018,2,Amador County
4114,2018-Q3,06,005,2018,3,Amador County
4385,2018-Q4,06,005,2018,4,Amador County
4096,2019-Q1,06,005,2019,1,Amador County
4227,2019-Q2,06,005,2019,2,Amador County
4219,2019-Q3,06,005,2019,3,Amador County
1730,1991-Q4,06,007,1991,4,Butte County
1541,1992-Q1,06,007,1992,1,Butte County
1653,1992-Q2,06,007,1992,2,Butte County
1641,1992-Q3,06,007,1992,3,Butte County
1806,1992-Q4,06,007,1992,4,Butte County
1612,1993-Q1,06,007,1993,1,Butte County
1728,1993-Q2,06,007,1993,2,Butte County
1720,1993-Q3,06,007,1993,3,Butte County
1820,1993-Q4,06,007,1993,4,Butte County
1653,1994-Q1,06,007,1994,1,Butte County
1767,1994-Q2,06,007,1994,2,Butte County
1806,1994-Q3,06,007,1994,3,Butte County
1829,1994-Q4,06,007,1994,4,Butte County
1727,1995-Q1,06,007,1995,1,Butte County
1790,1995-Q2,06,007,1995,2,Butte County
1807,1995-Q3,06,007,1995,3,Butte County
1846,1995-Q4,06,007,1995,4,Butte County
1786,1996-Q1,06,007,1996,1,Butte County
1847,1996-Q2,06,007,1996,2,Butte County
1863,1996-Q3,06,007,1996,3,Butte County
1957,1996-Q4,06,007,1996,4,Butte County
1837,1997-Q1,06,007,1997,1,Butte County
1926,1997-Q2,06,007,1997,2,Butte County
1933,1997-Q3,06,007,1997,3,Butte County
2057,1997-Q4,06,007,1997,4,Butte County
1868,1998-Q1,06,007,1998,1,Butte County
2027,1998-Q2,06,007,1998,2,Butte County
2046,1998-Q3,06,007,1998,3,Butte County
2192,1998-Q4,06,007,1998,4,Butte County
1918,1999-Q1,06,007,1999,1,Butte County
2077,1999-Q2,06,007,1999,2,Butte County
2102,1999-Q3,06,007,1999,3,Butte County
2274,1999-Q4,06,007,1999,4,Butte County
2070,2000-Q1,06,007,2000,1,Butte County
2252,2000-Q2,06,007,2000,2,Butte County
2245,2000-Q3,06,007,2000,3,Butte County
2359,2000-Q4,06,007,2000,4,Butte County
2254,2001-Q1,06,007,2001,1,Butte County
2377,2001-Q2,06,007,2001,2,Butte County
2330,2001-Q3,06,007,2001,3,Butte County
2449,2001-Q4,06,007,2001,4,Butte County
2271,2002-Q1,06,007,2002,1,Butte County
2420,2002-Q2,06,007,2002,2,Butte County
2399,2002-Q3,06,007,2002,3,Butte County
2524,2002-Q4,06,007,2002,4,Butte County
2483,2003-Q1,06,007,2003,1,Butte County
2446,2003-Q2,06,007,2003,2,Butte County
2477,2003-Q3,06,007,2003,3,Butte County
2582,2003-Q4,06,007,2003,4,Butte County
2384,2004-Q1,06,007,2004,1,Butte County
2520,2004-Q2,06,007,2004,2,Butte County
2566,2004-Q3,06,007,2004,3,Butte County
2738,2004-Q4,06,007,2004,4,Butte County
2448,2005-Q1,06,007,2005,1,Butte County
2609,2005-Q2,06,007,2005,2,Butte County
2741,2005-Q3,06,007,2005,3,Butte County
2771,2005-Q4,06,007,2005,4,Butte County
2661,2006-Q1,06,007,2006,1,Butte County
2761,2006-Q2,06,007,2006,2,Butte County
2774,2006-Q3,06,007,2006,3,Butte County
2913,2006-Q4,06,007,2006,4,Butte County
2799,2007-Q1,06,007,2007,1,Butte County
2858,2007-Q2,06,007,2007,2,Butte County
2923,2007-Q3,06,007,2007,3,Butte County
3041,2007-Q4,06,007,2007,4,Butte County
2871,2008-Q1,06,007,2008,1,Butte County
2914,2008-Q2,06,007,2008,2,Butte County
2993,2008-Q3,06,007,2008,3,Butte County
3111,2008-Q4,06,007,2008,4,Butte County
2880,2009-Q1,06,007,2009,1,Butte County
2949,2009-Q2,06,007,2009,2,Butte County
2960,2009-Q3,06,007,2009,3,Butte County
3188,2009-Q4,06,007,2009,4,Butte County
2827,2010-Q1,06,007,2010,1,Butte County
2948,2010-Q2,06,007,2010,2,Butte County
3012,2010-Q3,06,007,2010,3,Butte County
3291,2010-Q4,06,007,2010,4,Butte County
2898,2011-Q1,06,007,2011,1,Butte County
3025,2011-Q2,06,007,2011,2,Butte County
3130,2011-Q3,06,007,2011,3,Butte County
3248,2011-Q4,06,007,2011,4,Butte County
3027,2012-Q1,06,007,2012,1,Butte County
3094,2012-Q2,06,007,2012,2,Butte County
3091,2012-Q3,06,007,2012,3,Butte County
3416,2012-Q4,06,007,2012,4,Butte County
3097,2013-Q1,06,007,2013,1,Butte County
3199,2013-Q2,06,007,2013,2,Butte County
3148,2013-Q3,06,007,2013,3,Butte County
3412,2013-Q4,06,007,2013,4,Butte County
3157,2014-Q1,06,007,2014,1,Butte County
3272,2014-Q2,06,007,2014,2,Butte County
3242,2014-Q3,06,007,2014,3,Butte County
3526,2014-Q4,06,007,2014,4,Butte County
3311,2015-Q1,06,007,2015,1,Butte County
3386,2015-Q2,06,007,2015,2,Butte County
3364,2015-Q3,06,007,2015,3,Butte County
3733,2015-Q4,06,007,2015,4,Butte County
3332,2016-Q1,06,007,2016,1,Butte County
3498,2016-Q2,06,007,2016,2,Butte County
3621,2016-Q3,06,007,2016,3,Butte County
3645,2016-Q4,06,007,2016,4,Butte County
3557,2017-Q1,06,007,2017,1,Butte County
3573,2017-Q2,06,007,2017,2,Butte County
3798,2017-Q3,06,007,2017,3,Butte County
3796,2017-Q4,06,007,2017,4,Butte County
3691,2018-Q1,06,007,2018,1,Butte County
3699,2018-Q2,06,007,2018,2,Butte County
3821,2018-Q3,06,007,2018,3,Butte County
4040,2018-Q4,06,007,2018,4,Butte County
3885,2019-Q1,06,007,2019,1,Butte County
3931,2019-Q2,06,007,2019,2,Butte County
3983,2019-Q3,06,007,2019,3,Butte County
1640,1991-Q4,06,009,1991,4,Calaveras County
1514,1992-Q1,06,009,1992,1,Calaveras County
1732,1992-Q2,06,009,1992,2,Calaveras County
1513,1992-Q3,06,009,1992,3,Calaveras County
1837,1992-Q4,06,009,1992,4,Calaveras County
1640,1993-Q1,06,009,1993,1,Calaveras County
1777,1993-Q2,06,009,1993,2,Calaveras County
1651,1993-Q3,06,009,1993,3,Calaveras County
1853,1993-Q4,06,009,1993,4,Calaveras County
1584,1994-Q1,06,009,1994,1,Calaveras County
1788,1994-Q2,06,009,1994,2,Calaveras County
1687,1994-Q3,06,009,1994,3,Calaveras County
1812,1994-Q4,06,009,1994,4,Calaveras County
1660,1995-Q1,06,009,1995,1,Calaveras County
1803,1995-Q2,06,009,1995,2,Calaveras County
1678,1995-Q3,06,009,1995,3,Calaveras County
1906,1995-Q4,06,009,1995,4,Calaveras County
1702,1996-Q1,06,009,1996,1,Calaveras County
1876,1996-Q2,06,009,1996,2,Calaveras County
1808,1996-Q3,06,009,1996,3,Calaveras County
1967,1996-Q4,06,009,1996,4,Calaveras County
1773,1997-Q1,06,009,1997,1,Calaveras County
1927,1997-Q2,06,009,1997,2,Calaveras County
1818,1997-Q3,06,009,1997,3,Calaveras County
1990,1997-Q4,06,009,1997,4,Calaveras County
1779,1998-Q1,06,009,1998,1,Calaveras County
2009,1998-Q2,06,009,1998,2,Calaveras County
1946,1998-Q3,06,009,1998,3,Calaveras County
2144,1998-Q4,06,009,1998,4,Calaveras County
1942,1999-Q1,06,009,1999,1,Calaveras County
2026,1999-Q2,06,009,1999,2,Calaveras County
1955,1999-Q3,06,009,1999,3,Calaveras County
2258,1999-Q4,06,009,1999,4,Calaveras County
2032,2000-Q1,06,009,2000,1,Calaveras County
2167,2000-Q2,06,009,2000,2,Calaveras County
2185,2000-Q3,06,009,2000,3,Calaveras County
2319,2000-Q4,06,009,2000,4,Calaveras County
2203,2001-Q1,06,009,2001,1,Calaveras County
2318,2001-Q2,06,009,2001,2,Calaveras County
2394,2001-Q3,06,009,2001,3,Calaveras County
2448,2001-Q4,06,009,2001,4,Calaveras County
2300,2002-Q1,06,009,2002,1,Calaveras County
2342,2002-Q2,06,009,2002,2,Calaveras County
2389,2002-Q3,06,009,2002,3,Calaveras County
2482,2002-Q4,06,009,2002,4,Calaveras County
2311,2003-Q1,06,009,2003,1,Calaveras County
2353,2003-Q2,06,009,2003,2,Calaveras County
2499,2003-Q3,06,009,2003,3,Calaveras County
2584,2003-Q4,06,009,2003,4,Calaveras County
2529,2004-Q1,06,009,2004,1,Calaveras County
2577,2004-Q2,06,009,2004,2,Calaveras County
2637,2004-Q3,06,009,2004,3,Calaveras County
2900,2004-Q4,06,009,2004,4,Calaveras County
2449,2005-Q1,06,009,2005,1,Calaveras County
2673,2005-Q2,06,009,2005,2,Calaveras County
2812,2005-Q3,06,009,2005,3,Calaveras County
2917,2005-Q4,06,009,2005,4,Calaveras County
2613,2006-Q1,06,009,2006,1,Calaveras County
2833,2006-Q2,06,009,2006,2,Calaveras County
2755,2006-Q3,06,009,2006,3,Calaveras County
3002,2006-Q4,06,009,2006,4,Calaveras County
2725,2007-Q1,06,009,2007,1,Calaveras County
2957,2007-Q2,06,009,2007,2,Calaveras County
2792,2007-Q3,06,009,2007,3,Calaveras County
3021,2007-Q4,06,009,2007,4,Calaveras County
2714,2008-Q1,06,009,2008,1,Calaveras County
2988,2008-Q2,06,009,2008,2,Calaveras County
2857,2008-Q3,06,009,2008,3,Calaveras County
3078,2008-Q4,06,009,2008,4,Calaveras County
2732,2009-Q1,06,009,2009,1,Calaveras County
2958,2009-Q2,06,009,2009,2,Calaveras County
2844,2009-Q3,06,009,2009,3,Calaveras County
3083,2009-Q4,06,009,2009,4,Calaveras County
2781,2010-Q1,06,009,2010,1,Calaveras County
2996,2010-Q2,06,009,2010,2,Calaveras County
2927,2010-Q3,06,009,2010,3,Calaveras County
3118,2010-Q4,06,009,2010,4,Calaveras County
2866,2011-Q1,06,009,2011,1,Calaveras County
2970,2011-Q2,06,009,2011,2,Calaveras County
3039,2011-Q3,06,009,2011,3,Calaveras County
3022,2011-Q4,06,009,2011,4,Calaveras County
3014,2012-Q1,06,009,2012,1,Calaveras County
2987,2012-Q2,06,009,2012,2,Calaveras County
3121,2012-Q3,06,009,2012,3,Calaveras County
3119,2012-Q4,06,009,2012,4,Calaveras County
3039,2013-Q1,06,009,2013,1,Calaveras County
3014,2013-Q2,06,009,2013,2,Calaveras County
3126,2013-Q3,06,009,2013,3,Calaveras County
3173,2013-Q4,06,009,2013,4,Calaveras County
3044,2014-Q1,06,009,2014,1,Calaveras County
3057,2014-Q2,06,009,2014,2,Calaveras County
3177,2014-Q3,06,009,2014,3,Calaveras County
3312,2014-Q4,06,009,2014,4,Calaveras County
3155,2015-Q1,06,009,2015,1,Calaveras County
3241,2015-Q2,06,009,2015,2,Calaveras County
3462,2015-Q3,06,009,2015,3,Calaveras County
3752,2015-Q4,06,009,2015,4,Calaveras County
3192,2016-Q1,06,009,2016,1,Calaveras County
3345,2016-Q2,06,009,2016,2,Calaveras County
3538,2016-Q3,06,009,2016,3,Calaveras County
3694,2016-Q4,06,009,2016,4,Calaveras County
3236,2017-Q1,06,009,2017,1,Calaveras County
3478,2017-Q2,06,009,2017,2,Calaveras County
3489,2017-Q3,06,009,2017,3,Calaveras County
3772,2017-Q4,06,009,2017,4,Calaveras County
3438,2018-Q1,06,009,2018,1,Calaveras County
3695,2018-Q2,06,009,2018,2,Calaveras County
3731,2018-Q3,06,009,2018,3,Calaveras County
4637,2018-Q4,06,009,2018,4,Calaveras County
3451,2019-Q1,06,009,2019,1,Calaveras County
3861,2019-Q2,06,009,2019,2,Calaveras County
3804,2019-Q3,06,009,2019,3,Calaveras County
1587,1991-Q4,06,011,1991,4,Colusa County
1438,1992-Q1,06,011,1992,1,Colusa County
1643,1992-Q2,06,011,1992,2,Colusa County
